Student_ID,Course_Name,Placement_Status,Company_Name,Position,City,Package_LPA,Degree_Marks
STU1124,M.Tech,Placed,Tech Mahindra,Project Manager,Bangalore,9.28,70.81
STU1125,B.Sc,Placed,Amazon,Business Analyst,Delhi,6.26,63.57
STU1126,BCA,Placed,Infosys,Intern,Chennai,24.89,70.15
STU1127,BBA,Placed,Tech Mahindra,Business Analyst,Pune,12.81,94.01
STU1128,B.Sc,Placed,Wipro,Intern,Bangalore,20.65,81.74
STU1129,M.Tech,Placed,None,Business Analyst,Pune,14.81,89.19
STU1130,B.Tech,Placed,Accenture,Project Manager,None,13,60.47
STU1131,B.Tech,Not Placed,None,None,None,0,58.84
STU1132,B.Sc,Placed,Amazon,Intern,Kolkata,20.46,92.02
STU1133,B.Com,Placed,TCS,Intern,Chennai,22.64,60
STU1134,MCA,Placed,Accenture,Data Analyst,Delhi,6.15,65.07
STU1135,MCA,Not Placed,None,None,None,0,79.58
STU1136,BCA,Placed,Google,Business Analyst,Kolkata,13.53,92.64
STU1137,B.Sc,Placed,Accenture,Data Analyst,Chennai,17.9,83.83
STU1138,BBA,Placed,None,Software Engineer,Delhi,18.6,69.33
STU1139,BBA,Not Placed,None,None,None,0,89.55
STU1140,BBA,Placed,Google,Business Analyst,Pune,7.08,82.6
STU1141,MCA,Placed,Accenture,Intern,Bangalore,20.87,56.71
STU1142,MCA,Not Placed,None,None,None,0,84.62
STU1143,BBA,Placed,Accenture,Data Analyst,Chennai,24.1,93.83
STU1144,B.Tech,Not Placed,None,None,None,0,53.83
STU1145,BCA,Placed,Infosys,Project Manager,Pune,4.2,51.85
STU1146,B.Tech,Placed,Wipro,Software Engineer,Kolkata,17.17,85.33
STU1147,B.Sc,Not Placed,None,None,None,0,58.51
STU1148,B.Tech,Placed,Amazon,Software Engineer,None,11.59,94.91
STU1149,M.Tech,Not Placed,None,None,None,0,83.78
STU1150,B.Sc,Placed,None,Intern,Chennai,21.96,86.88
STU1151,MBA,Not Placed,None,None,None,0,52.57
STU1152,B.Sc,Placed,Amazon,Project Manager,Pune,19.73,72.82
STU1153,BBA,Placed,Amazon,Project Manager,Mumbai,10.32,69.57
STU1154,MCA,Placed,Infosys,Project Manager,Bangalore,9.79,53.52
STU1155,BCA,Not Placed,None,None,None,0,53.1
STU1156,BCA,Placed,TCS,Business Analyst,None,13.18,70.88
STU1157,BCA,Placed,Infosys,Intern,Mumbai,11.18,51.54
STU1158,BCA,Placed,None,Intern,Delhi,15.31,76.35
STU1159,BCA,Placed,Tech Mahindra,Business Analyst,Pune,3.18,51.04
STU1160,B.Tech,Placed,Google,Project Manager,Hyderabad,21.08,57.62
STU1161,B.Com,Placed,Google,Project Manager,Delhi,22.66,51.05
STU1162,BCA,Placed,Tech Mahindra,Project Manager,Chennai,14.2,94.98
STU1163,BBA,Placed,Google,Intern,Chennai,8.5,70.67
STU1164,M.Tech,Placed,Wipro,Project Manager,Delhi,6.76,54.77
STU1165,MBA,Placed,Wipro,Intern,Kolkata,20.52,70.83
STU1166,MCA,Placed,TCS,Software Engineer,Mumbai,24.48,74.57
STU1167,B.Sc,Placed,TCS,Software Engineer,Bangalore,3.67,79.46
STU1168,B.Tech,Placed,Google,Consultant,Chennai,9.66,87.29
STU1169,MBA,Not Placed,None,None,None,0,64.55
STU1170,BCA,Placed,Wipro,Business Analyst,None,17.45,93.18
STU1171,MCA,Not Placed,None,None,None,0,76.36
STU1172,MBA,Placed,Tech Mahindra,Intern,None,19.71,61.54
STU1173,B.Com,Not Placed,None,None,None,0,50.61
STU1174,BCA,Placed,Tech Mahindra,Business Analyst,Kolkata,15.65,71.19
STU1175,MCA,Placed,TCS,Project Manager,Mumbai,17.65,74.67
STU1176,MCA,Not Placed,None,None,None,0,65.18
STU1177,BCA,Not Placed,None,None,None,0,65.63
STU1178,B.Sc,Not Placed,None,None,None,0,66.07
STU1179,B.Sc,Placed,Accenture,Software Engineer,Chennai,3.57,87.83
STU1180,M.Tech,Placed,Infosys,Consultant,Mumbai,20.58,87.08
STU1181,MCA,Placed,TCS,Data Analyst,Delhi,18.37,56.8
STU1182,B.Tech,Placed,TCS,Project Manager,Kolkata,9.35,82.28
STU1183,B.Com,Placed,Accenture,Software Engineer,None,20.18,50.24
STU1184,MBA,Not Placed,None,None,None,0,89.86
STU1185,M.Tech,Not Placed,None,None,None,0,72.64
STU1186,BBA,Placed,Accenture,Intern,Hyderabad,12.96,83.78
STU1187,BBA,Placed,Accenture,Data Analyst,Delhi,11.36,57.48
STU1188,MCA,Not Placed,None,None,None,0,89.02
STU1189,B.Com,Not Placed,None,None,None,0,87.69
STU1190,BCA,Placed,Accenture,Intern,Hyderabad,12.22,76.29
STU1191,B.Com,Placed,Infosys,Data Analyst,Mumbai,24.07,84.73
STU1192,B.Com,Not Placed,None,None,None,0,79.34
STU1193,B.Tech,Placed,None,Intern,Bangalore,14.19,69.62
STU1194,MBA,Placed,Accenture,Software Engineer,Delhi,5.67,87.99
STU1195,M.Tech,Placed,Google,Software Engineer,Delhi,10.79,84.37
STU1196,M.Tech,Placed,Infosys,Intern,Delhi,4.71,77.14
STU1197,M.Tech,Placed,Google,Intern,Mumbai,22.94,72.17
STU1198,B.Tech,Placed,Wipro,Business Analyst,None,11.23,62.97
STU1199,BCA,Placed,Accenture,Data Analyst,Delhi,22.44,52.72
STU1200,MBA,Placed,Google,Business Analyst,Hyderabad,3.47,68.48
STU1201,B.Sc,Not Placed,None,None,None,0,60.53
STU1202,MBA,Placed,Tech Mahindra,Consultant,Bangalore,8.29,85.37
STU1203,MCA,Placed,Infosys,Software Engineer,Kolkata,3.96,60.18
STU1204,BCA,Placed,Wipro,Consultant,Bangalore,13.59,52.56
STU1205,B.Tech,Placed,Google,Intern,Pune,23.27,89.22
STU1206,B.Com,Placed,Amazon,Consultant,Bangalore,23.13,68.94
STU1207,MCA,Placed,Amazon,Data Analyst,Bangalore,24.96,89.87
STU1208,BCA,Placed,None,Intern,Delhi,20.94,52.61
STU1209,B.Com,Placed,Accenture,Consultant,Chennai,10.69,52.14
STU1210,B.Com,Placed,Infosys,Project Manager,Bangalore,22.81,53.01
STU1211,M.Tech,Not Placed,None,None,None,0,62.65
STU1212,BCA,Placed,Accenture,Intern,Chennai,19.51,81.92
STU1213,M.Tech,Placed,Amazon,Software Engineer,Chennai,4.64,79.24
STU1214,B.Sc,Not Placed,None,None,None,0,74.03
STU1215,M.Tech,Placed,TCS,Software Engineer,Chennai,17.66,94.63
STU1216,M.Tech,Placed,Tech Mahindra,Business Analyst,Kolkata,5.84,73.31
STU1217,BBA,Placed,Infosys,Software Engineer,Delhi,6.24,59.86
STU1218,MCA,Not Placed,None,None,None,0,64.83
STU1219,BCA,Placed,Amazon,Software Engineer,Delhi,6.15,55.15
STU1220,MBA,Placed,None,Software Engineer,Mumbai,8.14,58.54
STU1221,BBA,Placed,TCS,Business Analyst,Kolkata,18.26,82.67
STU1222,M.Tech,Placed,TCS,Data Analyst,None,18.32,53.88
STU1223,B.Com,Not Placed,None,None,None,0,90.31
STU1224,MCA,Placed,None,Project Manager,Mumbai,10.48,91.7
STU1225,B.Tech,Placed,Tech Mahindra,Data Analyst,Mumbai,23.55,75.3
STU1226,B.Sc,Placed,Tech Mahindra,Project Manager,None,8.15,66.76
STU1227,B.Tech,Placed,Accenture,Consultant,Hyderabad,10.56,92.58
STU1228,B.Tech,Placed,Infosys,Intern,Delhi,13.09,77.34
STU1229,B.Sc,Placed,Accenture,Business Analyst,Chennai,24.56,65.18
STU1230,M.Tech,Placed,None,Data Analyst,Bangalore,7.19,86.86
STU1231,BBA,Placed,Infosys,Data Analyst,None,12.49,61.75
STU1232,MBA,Placed,Wipro,Consultant,Kolkata,24.37,53.17
STU1233,BCA,Placed,None,Project Manager,None,16.73,91.31
STU1234,MCA,Placed,None,Intern,Delhi,15.74,84.03
STU1235,BBA,Placed,None,Business Analyst,None,23.49,55.5
STU1236,MCA,Placed,Amazon,Business Analyst,None,21.93,86.94
STU1237,MBA,Placed,Tech Mahindra,Project Manager,Mumbai,16.02,63.46
STU1238,MCA,Placed,Infosys,Business Analyst,Mumbai,13.19,84.51
STU1239,BBA,Placed,Accenture,Business Analyst,Kolkata,20.12,85.67
STU1240,BBA,Not Placed,None,None,None,0,69.28
STU1241,M.Tech,Not Placed,None,None,None,0,85.87
STU1242,B.Com,Placed,Amazon,Software Engineer,Mumbai,6.02,64.45
STU1243,B.Tech,Placed,Accenture,Data Analyst,Pune,9.64,65.58
STU1244,MCA,Placed,None,Software Engineer,Pune,6.3,71.64
STU1245,B.Sc,Placed,Accenture,Intern,Pune,7.61,81.88
STU1246,MCA,Placed,Google,Software Engineer,Pune,6.97,67.01
STU1247,B.Com,Placed,None,Business Analyst,Chennai,3.9,57.15
STU1248,B.Tech,Placed,Infosys,Project Manager,Pune,19.79,68.81
STU1249,MCA,Placed,Wipro,Data Analyst,Mumbai,17.6,70.43
STU1250,B.Tech,Placed,None,Project Manager,Pune,17.94,89.95
STU1251,B.Sc,Not Placed,None,None,None,0,59.95
STU1252,MCA,Placed,Amazon,Software Engineer,Pune,21.53,89.42
STU1253,M.Tech,Placed,Accenture,Business Analyst,Delhi,3.77,75.6
STU1254,BCA,Not Placed,None,None,None,0,69.82
STU1255,M.Tech,Placed,Accenture,Project Manager,Kolkata,24.64,85.98
STU1256,MBA,Placed,Amazon,Business Analyst,Bangalore,8.2,62.13
STU1257,MBA,Placed,TCS,Consultant,Hyderabad,23.04,79.87
STU1258,BBA,Placed,Google,Business Analyst,Delhi,24.1,55.22
STU1259,M.Tech,Placed,Accenture,Data Analyst,Delhi,8.05,74.16
STU1260,B.Tech,Placed,Accenture,Project Manager,Hyderabad,11.93,67.03
STU1261,MCA,Placed,TCS,Software Engineer,Hyderabad,11.66,79.7
STU1262,BBA,Placed,Infosys,Software Engineer,Kolkata,16.76,69.98
STU1263,MCA,Not Placed,None,None,None,0,54.82
STU1264,MBA,Placed,Tech Mahindra,Intern,Pune,24.86,73.2
STU1265,B.Com,Placed,Accenture,Consultant,Kolkata,3.49,73.57
STU1266,BBA,Placed,Google,Business Analyst,Kolkata,23.64,91.1
STU1267,B.Tech,Placed,None,Data Analyst,Delhi,23.92,80.35
STU1268,B.Sc,Not Placed,None,None,None,0,54.7
STU1269,B.Com,Placed,Accenture,Consultant,Bangalore,11.39,54.75
STU1270,BBA,Placed,Tech Mahindra,Business Analyst,Chennai,22.37,72.57
STU1271,MCA,Placed,None,Project Manager,Hyderabad,21.08,83.29
STU1272,BCA,Placed,Amazon,Software Engineer,Delhi,23.71,58.29
STU1273,MCA,Placed,Wipro,Intern,Kolkata,13.37,86.78
STU1274,MCA,Placed,Infosys,Software Engineer,Hyderabad,22.51,73.96
STU1275,MBA,Placed,Accenture,Data Analyst,Kolkata,5.14,72.91
STU1276,B.Com,Not Placed,None,None,None,0,63.45
STU1277,B.Com,Placed,Infosys,Intern,Bangalore,16.17,76.05
STU1278,M.Tech,Placed,Tech Mahindra,Business Analyst,Delhi,19.9,90.29
STU1279,M.Tech,Placed,Accenture,Intern,Mumbai,8.17,85.21
STU1280,BBA,Not Placed,None,None,None,0,67.52
STU1281,M.Tech,Placed,Infosys,Consultant,None,17.54,67.83
STU1282,B.Tech,Placed,TCS,Intern,Hyderabad,21.3,86.8
STU1283,B.Com,Placed,None,Software Engineer,Bangalore,9.42,69.3
STU1284,MBA,Not Placed,None,None,None,0,71.72
STU1285,B.Com,Placed,Accenture,Project Manager,Hyderabad,15.05,77.1
STU1286,M.Tech,Placed,Amazon,Data Analyst,Hyderabad,7.44,50.35
STU1287,B.Sc,Placed,Infosys,Consultant,Chennai,6.45,52.31
STU1288,MCA,Placed,Infosys,Data Analyst,None,11.61,82.75
STU1289,B.Com,Placed,Amazon,Data Analyst,Kolkata,14.84,85.2
STU1290,B.Com,Not Placed,None,None,None,0,59.32
STU1291,B.Sc,Placed,None,Project Manager,Delhi,23.67,80.62
STU1292,MCA,Not Placed,None,None,None,0,59.72
STU1293,BCA,Placed,Google,Business Analyst,None,8.25,87.05
STU1294,B.Sc,Not Placed,None,None,None,0,59.17
STU1295,B.Sc,Placed,Wipro,Project Manager,Pune,24.97,75.35
STU1296,MBA,Placed,Infosys,Business Analyst,Chennai,24.49,66.36
STU1297,B.Sc,Not Placed,None,None,None,0,56.28
STU1298,B.Sc,Not Placed,None,None,None,0,61.67
STU1299,BBA,Placed,TCS,Consultant,None,7.57,82.58
STU1300,MBA,Placed,Accenture,Intern,Delhi,15.46,61.81
STU1301,MBA,Not Placed,None,None,None,0,85.84
STU1302,BBA,Not Placed,None,None,None,0,87.34
STU1303,M.Tech,Placed,Accenture,Consultant,Chennai,14.56,53.88
STU1304,M.Tech,Placed,None,Consultant,Mumbai,17.63,79.91
STU1305,BCA,Placed,Tech Mahindra,Consultant,Chennai,12.02,61.44
STU1306,B.Tech,Placed,Google,Data Analyst,Chennai,8.79,80.21
STU1307,BCA,Placed,Amazon,Intern,None,7.48,67.97
STU1308,MCA,Not Placed,None,None,None,0,64.63
STU1309,BCA,Placed,Google,Consultant,Mumbai,7.84,62.54
STU1310,B.Tech,Not Placed,None,None,None,0,84.6
STU1311,BBA,Placed,Accenture,Data Analyst,Pune,7.97,61.3
STU1312,B.Sc,Placed,Google,Software Engineer,Bangalore,18.49,56.66
STU1313,B.Sc,Placed,Amazon,Software Engineer,Kolkata,23.35,53.63
STU1314,BBA,Placed,Tech Mahindra,Consultant,Bangalore,5.92,62.67
STU1315,B.Com,Not Placed,None,None,None,0,79.97
STU1316,B.Tech,Not Placed,None,None,None,0,64.92
STU1317,M.Tech,Placed,Tech Mahindra,Software Engineer,Bangalore,3.21,74.71
STU1318,B.Com,Placed,Accenture,Software Engineer,Hyderabad,20.11,83.07
STU1319,MBA,Not Placed,None,None,None,0,92.34
STU1320,B.Sc,Placed,Amazon,Intern,None,12.78,92.27
STU1321,MBA,Placed,Google,Data Analyst,Kolkata,22.93,70.67
STU1322,MBA,Not Placed,None,None,None,0,82.34
STU1323,M.Tech,Placed,Wipro,Project Manager,None,11.6,61.83
STU1324,M.Tech,Placed,TCS,Project Manager,Kolkata,23.44,53.52
STU1325,B.Sc,Placed,TCS,Software Engineer,Bangalore,24.56,75.42
STU1326,BCA,Placed,Infosys,Business Analyst,Delhi,19.08,72.04
STU1327,B.Tech,Not Placed,None,None,None,0,57.34
STU1328,B.Com,Placed,Accenture,Business Analyst,None,10.85,87.07
STU1329,MCA,Not Placed,None,None,None,0,57.87
STU1330,B.Tech,Placed,None,Software Engineer,Delhi,13.01,92.07
STU1331,B.Tech,Not Placed,None,None,None,0,70.99
STU1332,B.Tech,Placed,Accenture,Data Analyst,Delhi,5.03,84.84
STU1333,MBA,Not Placed,None,None,None,0,72.6
STU1334,BCA,Placed,Accenture,Intern,Hyderabad,8.66,65.98
STU1335,B.Tech,Placed,Google,Consultant,Delhi,5.55,93.9
STU1336,BCA,Placed,Accenture,Project Manager,Bangalore,17.2,78.09
STU1337,MCA,Placed,Wipro,Data Analyst,Hyderabad,17.61,55.98
STU1338,B.Tech,Placed,Amazon,Project Manager,Kolkata,19.13,75.81
STU1339,BCA,Not Placed,None,None,None,0,77.18
STU1340,BCA,Not Placed,None,None,None,0,84.12
STU1341,BCA,Placed,Infosys,Business Analyst,None,22.32,87.95
STU1342,M.Tech,Placed,Tech Mahindra,Data Analyst,Pune,13.54,55.1
STU1343,M.Tech,Not Placed,None,None,None,0,78.75
STU1344,M.Tech,Placed,None,Intern,None,13.44,64.76
STU1345,BBA,Not Placed,None,None,None,0,59.06
STU1346,B.Sc,Not Placed,None,None,None,0,66.61
STU1347,B.Sc,Placed,Amazon,Business Analyst,Hyderabad,8.79,61.12
STU1348,M.Tech,Placed,Google,Data Analyst,Pune,14.04,88.75
STU1349,M.Tech,Placed,None,Software Engineer,Pune,13.9,93.63
STU1350,MCA,Placed,Wipro,Intern,Kolkata,6.89,73.75
STU1351,MCA,Placed,Accenture,Business Analyst,Bangalore,10.34,82.3
STU1352,M.Tech,Not Placed,None,None,None,0,54.34
STU1353,MCA,Placed,Google,Software Engineer,Chennai,8.59,86.1
STU1354,MCA,Placed,Tech Mahindra,Consultant,Bangalore,15.8,76.66
STU1355,B.Com,Placed,None,Business Analyst,None,23.45,72.74
STU1356,MCA,Placed,None,Software Engineer,Pune,10.38,76.69
STU1357,MBA,Placed,Amazon,Consultant,Pune,20.47,89.92
STU1358,MBA,Placed,Tech Mahindra,Intern,Kolkata,22.88,59.06
STU1359,BCA,Placed,Amazon,Data Analyst,Mumbai,21.01,80.83
STU1360,B.Com,Placed,TCS,Intern,Delhi,22.49,78.44
STU1361,MBA,Placed,Wipro,Intern,Hyderabad,14.55,90.62
STU1362,M.Tech,Placed,Amazon,Business Analyst,Bangalore,13.58,79.52
STU1363,BCA,Placed,Wipro,Software Engineer,Hyderabad,15.39,86.26
STU1364,M.Tech,Placed,Tech Mahindra,Intern,Pune,14.54,69.21
STU1365,BCA,Placed,Tech Mahindra,Intern,Bangalore,22.16,85.81
STU1366,M.Tech,Placed,Accenture,Intern,Chennai,19.31,59.89
STU1367,MCA,Placed,Tech Mahindra,Project Manager,Bangalore,24.24,57.02
STU1368,BCA,Placed,TCS,Business Analyst,Pune,8.62,61.34
STU1369,BBA,Placed,None,Software Engineer,Bangalore,12.65,72.38
STU1370,BCA,Placed,None,Business Analyst,Mumbai,7.41,62.45
STU1371,BCA,Placed,TCS,Business Analyst,Bangalore,24.34,89.93
STU1372,B.Com,Placed,Tech Mahindra,Business Analyst,Pune,13.86,85.44
STU1373,BBA,Placed,Accenture,Software Engineer,Kolkata,6.14,50.38
STU1374,BCA,Not Placed,None,None,None,0,63.56
STU1375,MCA,Placed,None,Intern,Delhi,24.12,87.24
STU1376,BBA,Placed,Amazon,Data Analyst,Hyderabad,20.19,51.18
STU1377,B.Sc,Placed,Tech Mahindra,Consultant,Delhi,9.65,89.05
STU1378,MCA,Placed,Google,Intern,Hyderabad,9,83.6
STU1379,M.Tech,Placed,Amazon,Software Engineer,Mumbai,5.7,93.4
STU1380,B.Sc,Placed,Amazon,Consultant,Pune,20.47,69.87
STU1381,MCA,Placed,TCS,Consultant,Hyderabad,10.33,66.3
STU1382,M.Tech,Not Placed,None,None,None,0,62.31
STU1383,B.Tech,Not Placed,None,None,None,0,87.27
STU1384,B.Sc,Not Placed,None,None,None,0,53.83
STU1385,B.Tech,Not Placed,None,None,None,0,74.46
STU1386,B.Tech,Not Placed,None,None,None,0,53.37
STU1387,MCA,Placed,Accenture,Consultant,None,14.25,54.95
STU1388,BCA,Not Placed,None,None,None,0,77.19
STU1389,BBA,Not Placed,None,None,None,0,86.42
STU1390,BCA,Placed,Google,Data Analyst,Mumbai,24.29,86.29
STU1391,B.Com,Placed,Amazon,Project Manager,Bangalore,12.21,65.91
STU1392,B.Sc,Placed,Google,Software Engineer,Delhi,8.96,82.14
STU1393,B.Com,Placed,Amazon,Consultant,Pune,13.47,70.62
STU1394,B.Sc,Placed,Wipro,Software Engineer,None,19.43,70.38
STU1395,B.Com,Placed,Accenture,Software Engineer,Hyderabad,7.22,78.67
STU1396,B.Com,Placed,Google,Consultant,Hyderabad,16.15,53.95
